FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,24489249000,25072836000,33221006000,26994586000,28466642000,28179128000,28847212000,32380566000,32733751000,33616461000,32474732000,41973579000,43416640000,45950822000,54923474000,55514894000,44414852000,48252895000,44491707000,41349976000,49956433000,49833173000,60236927000,55027472000,59514157000,66939175000,70262238000,116188566000,115773996000,134553788000,150319560000,143896130000,136129406000,167586406000,256582474000,263273969000,290268915000,314634523000,377915849000,387863479000,415175678000,458201519000,515461226000,YKBNK
1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),2743162000,2065854000,4071968000,1769310000,1608073000,1679210000,1393279000,3018283000,2612458000,2135085000,3065174000,4118198000,270433000,259437000,340348000,241431000,296547000,318702000,630336000,567404000,494918000,384362000,399111000,998550000,967009000,1012671000,990949000,1210786000,1142060000,1242476000,1386667000,1565457000,1661509000,2171222000,2372090000,3093645000,3852857000,3569816000,3477091000,3724782000,3893677000,4373927000,3947099000,YKBNK
1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),2743162000,2065854000,4071968000,1769310000,1608073000,1679210000,1393279000,3018283000,2612458000,2135085000,3065174000,4118198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,353415000,138537000,131275000,66106000,63476000,68400000,41926000,36713000,60550000,32417000,43850000,56980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,2389747000,1927317000,3940693000,1703204000,1544597000,1610810000,1351353000,2981570000,2551908000,2102668000,3021324000,4061218000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,0,0,0,0,0,0,0,0,0,0,0,0,270433000,259437000,340348000,241431000,296547000,318702000,630336000,567404000,494918000,384362000,399111000,998550000,967009000,1012671000,990949000,1210786000,1142060000,1242476000,1386667000,1565457000,1661509000,2171222000,2372090000,3093645000,3852857000,3569816000,3477091000,3724782000,3893677000,4373927000,3947099000,YKBNK
1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,0,0,0,0,0,0,0,0,0,0,0,0,55266000,62601000,102173000,68342000,78344000,72679000,212680000,93870000,293745000,163225000,187293000,276714000,225847000,207564000,204022000,206645000,255957000,272597000,325240000,365229000,422816000,474657000,503141000,718268000,1132377000,838204000,495430000,292948000,255181000,264775000,278349000,YKBNK
1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,0,0,0,0,0,0,0,0,0,0,0,0,115277000,147498000,220404000,170522000,215365000,243764000,410495000,199053000,199053000,199053000,199053000,228446000,228446000,228446000,228446000,228446000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1ABC,2.2.3 Krediler,2.2.3 Loans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1ABD,2.2.4 Diğer Menkul Değerler,2.2.4 Other Marketable Securities,0,0,0,0,0,0,0,0,0,0,0,0,99890000,49338000,17771000,2567000,2838000,2259000,7161000,274481000,2120000,22084000,12765000,493390000,512716000,576661000,558481000,775695000,886103000,969879000,1061427000,1200228000,1238693000,1696565000,1868949000,2375377000,2720480000,2731612000,2981661000,3431834000,3638496000,4109152000,3668750000,YKBNK
1AC,III. BANKALAR,III. BANKS,5117014000,1920538000,3218404000,1337144000,1406260000,1947323000,1527481000,1448692000,1354510000,1693860000,1939165000,2720627000,1917812000,5813002000,4903700000,1678284000,11759578000,16577806000,22756372000,22539265000,13665958000,10135249000,11698984000,11064127000,17233114000,13694286000,19420716000,25605766000,25725836000,23295689000,20781393000,26405966000,21697889000,31574960000,22998570000,27601982000,31723487000,31620672000,40069618000,23323163000,71219320000,51184017000,34082862000,YKBNK
1AD,IV. PARA PİYASALARINDAN ALACAKLAR,IV. RECEIVABLES FROM MONEY MARKETS,782835000,646486000,395009000,286115000,1075442000,0,3089535000,0,0,258740000,754632000,816887000,1036002000,2349114000,173035000,116969000,7537297000,7101361000,2407800000,10703351000,8769314000,0,1000000,1700842000,0,0,2084000,1809366000,4839639000,0,1454893000,2461599000,5208728000,8869037000,5983200000,0,602613000,0,0,0,0,0,0,YKBNK
1ADA,4.1 Bankalararası Para Piyasasından Alacaklar,4.1 Interbank Money Market Placements,0,0,198430000,0,1075442000,0,0,0,0,0,754632000,812790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1ADB,4.2 İMKB Takasbank Piyasasından Alacaklar,4.2 Receivables From Istanbul Stock Exchange Money Market,782335000,646486000,196479000,286115000,0,0,88858000,0,0,258740000,0,4097000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1ADC,4.3 Ters Repo İşlemlerinden Alacaklar,4.3 Receivables From Reverse Repurchase Agreements,500000,0,100000,0,0,0,3000677000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AE,V. SATILMAYA HAZIR FİNANSAL VARLIKLAR (Net),V.AVAILABLE VAILABLE FOR SALE FINANCIAL ASSETS (Net),21125689000,22286086000,22391242000,22748429000,20867548000,20907429000,16725015000,18280206000,20587532000,20525348000,22980397000,24307660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AEA,5.1 Sermayede Payı Temsil Eden Menkul Değerler,5.1 Securities Representing Share in Equity,5980000,7429000,7599000,216911000,218933000,55136000,62542000,68618000,79509000,81884000,91891000,104078000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AEB,5.2 Devlet Borçlanma Senetleri,5.2 Government Debt Securities,18711945000,19793031000,19946042000,20380183000,18332217000,18799039000,14692660000,16034072000,18272013000,18366090000,20753440000,22389973000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AEC,5.3 Diğer Menkul Değerler,5.3 Other Marketable Securities,2407764000,2485626000,2437601000,2151335000,2316398000,2053254000,1969813000,2177516000,2236010000,2077374000,2135066000,1813609000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
1AF,VI. KREDİLER,VI. LOANS,132385626000,139546984000,149653306000,148779182000,150916975000,157307422000,157443097000,172624217000,179425829000,181230215000,185972233000,194960443000,197873805000,213846157000,238837899000,224935465000,235597592000,238253775000,231722699000,240463843000,252727339000,266460730000,293958331000,293225424000,313651305000,324416863000,343194667000,406267467000,458581495000,512559401000,558761856000,604441224000,644139601000,727750440000,787739543000,903585692000,1059028622000,1159341067000,1207876175000,1245359774000,1340226615000,1505287994000,1646124320000,YKBNK
1AFA,6.1 Krediler,6.1 Short Term,130903429000,138058725000,148100225000,147274109000,149374762000,155642426000,155633493000,170506257000,177406618000,179280930000,184125227000,192882576000,197873805000,213846157000,238837899000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903585692000,0,0,1207876175000,1245359774000,1340226615000,1505287994000,1646124320000,YKBNK
1AFB,6.1.1 Bankanın Dahil Olduğu Risk Grubuna Kullandırılan Krediler,6.1.1 Loans Granted To The Bank's Risk Group,1877338000,1797623000,1790788000,1668659000,1811180000,1647051000,1716741000,2420178000,2798737000,2554119000,2484753000,2535718000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YKBNK
