FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,19708386000,21515482000,23505834000,23324971000,24642053000,24236050000,27038055000,29999160000,33162790000,35257954000,34558501000,36373039000,35384431000,33598931000,29802079000,34957050000,34024092000,34211647000,32642343000,34488581000,23335601000,27153164000,41373680000,63476219000,62041790000,71107174000,74259472000,123424335000,103861046000,122062843000,133092024000,158994275000,153080878000,192165239000,358703993000,273729625000,351339684000,484572520000,579182637000,623116910000,622282265000,781970057000,838743512000,HALKB
1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),271439000,178640000,371919000,269341000,326343000,381203000,401090000,430098000,398315000,415792000,401957000,10447906000,10117781000,15159128000,15130338000,14496699000,14495073000,17108685000,14443723000,16266786000,16266913000,16290918000,16292577000,15677521000,15715777000,15719317000,15738061000,25138676000,25110461000,25107811000,25088890000,34130730000,44282031000,59511567000,59118469000,38762548000,38223012000,73188688000,80100301000,57595085000,79259313000,81014314000,96254308000,HALKB
1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),271439000,178640000,371919000,269341000,326343000,381203000,401090000,430098000,398315000,415792000,401957000,10447906000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HALKB
1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,39747000,35335000,36993000,16074000,65033000,80973000,61327000,62177000,1921000,34111000,2394000,10075407000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15500337000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HALKB
1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145601000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HALKB
1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,227883000,137102000,328705000,247055000,255106000,292147000,331676000,359811000,388277000,371124000,389002000,361921000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HALKB
1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,3809000,6203000,6221000,6212000,6204000,8083000,8087000,8110000,8117000,10557000,10561000,10578000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92123000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HALKB
1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,0,0,0,0,0,0,0,0,0,0,0,0,10117781000,15159128000,15130338000,14496699000,14495073000,17108685000,14443723000,16266786000,16266913000,16290918000,16292577000,15677521000,15715777000,15719317000,15738061000,25138676000,25110461000,25107811000,25088890000,34130730000,44282031000,59511567000,59118469000,38762548000,38223012000,73188688000,80100301000,57595085000,79259313000,81014314000,96254308000,HALKB
1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,0,0,0,0,0,0,0,0,0,0,0,0,10107190000,15143385000,15114037000,14430494000,14428979000,17093529000,14428308000,16104628000,16104522000,16104522000,16105362000,15503129000,15501080000,15501038000,0,24870364000,24870617000,24872500000,24874859000,33949730000,40683452000,54873945000,54873851000,35367214000,35368172000,70371336000,77931090000,56222012000,75097358000,72972391000,87369802000,HALKB
1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145601000,145601000,145601000,145601000,145601000,145601000,145601000,0,145601000,145601000,145601000,0,0,0,0,0,0,0,0,0,0,0,0,0,HALKB
